繁体,简体,拼音,词例,定义,又作
丫,丫,a1
呀,呀,a1
啊,啊,a1,啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了,（叹词）表示赞叹、惊异、吃惊等语气
鸦,鴉,a1
哑,啞,a1,咿哑，哑哑学语,（语气助词）呀；（象声词）形容乌鸦叫声、小儿学说话等声音
吖,吖,a1
锕,錒,a1
哑,啞,a2,哑巴，哑铃，哑子，哑剧，哑谜，聋哑，沙哑，嘶哑，哑巴亏，哑口无言，哑然无声，装聋作哑,不能说话，说不出话来
啊,啊,a2,啊？你说什么，啊？你再说，啊？这怎么回事，啊？有这种事啊,（叹词）表示疑问、疑惑、反问、追问、惊异、惊疑等语气
亚,亞,a3
阿,阿,a3,阿姨，阿飞
氩,氬,a3
娅,婭,a3
啊,啊,a3,啊！好吧，啊！原来是你，不错啊，多美啊，快来啊，很好啊，小心啊,（叹词）表示应诺、醒悟、明白等语气；（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气
挨,挨,aai1,挨户，挨家，挨近,依次，顺次，靠近
隘,隘,aai3
轭,軛,aak7
俺,俺,aan2
晏,晏,aan3
罂,罌,aang1,"",大腹小口的瓶子
鸭,鴨,aap8
压,壓,aat8
押,押,aat8
遏,遏,aat8
揠,揠,aat8
猰,猰,aat8
轧,軋,aat8/jaat8,轧平，倾轧，轧花机，轧棉花,碾压，滚压
拗,拗,aau3
坳,坳,aau3/aau1
哎,哎,ai1
唉,唉,ai1,唉声叹气,（叹词）表示失望或无可奈何
矮,矮,ai2
唉,唉,ai3,"",（叹词）表示伤感或惋惜
缢,縊,ai3
屃,屭,ai3,"","",屓
哑,啞,ak7,哑哑，哑然失笑，笑之哑哑,（象声词）形容笑声
厄,厄,ak7/aak7
扼,扼,ak7/aak7
幄,幄,ak7/aak7
握,握,ak7/aak7
渥,渥,ak7/aak7
龌,齷,ak7/aak7
鹌,鵪,am1
庵,庵,am1
谙,諳,am1
黯,黯,am2
揞,揞,am2
暗,暗,am3
莺,鶯,ang1
罂,罌,ang1,罂粟,一种花
区,區,au1,"",（姓）
欧,歐,au1
鸥,鷗,au1
瓯,甌,au1
讴,謳,au1
沤,漚,au1,浮沤,水泡
呕,嘔,au2
殴,毆,au2/au1
怄,慪,au3
沤,漚,au3,沤肥，沤田，沤麻,在水中长时间地浸泡以使起变化
凹,凹,au3/nap7,凹透镜，凹凸不平,洼下，跟“凸”相反
叭,叭,ba1
疤,疤,ba1
粑,粑,ba1
芭,芭,ba1
笆,笆,ba1
爸,爸,ba1
葩,葩,ba1
巴,巴,ba1
吧,吧,ba1,吧枱，吧嗒，吧唧，酒吧，沙拉吧，吧的一声,（音译词）小酒馆；（象声词）爆裂声
钯,鈀,ba2
靶,靶,ba2
把,把,ba2
霸,霸,ba3
坝,壩,ba3
吧,吧,ba6,好吧，去吧，说吧，不会吧，算了吧,（语气助词）表示可以，允许，推测，估量，命令等
罢,罷,ba6
掰,掰,baai1/maak8
摆,擺,baai2
摆,襬,baai2
捭,捭,baai2
拜,拜,baai3
败,敗,baai6
稗,稗,baai6
迫,迫,baak7/bik7
伯,伯,baak8
佰,佰,baak8
百,百,baak8
匐,匐,baak9
帛,帛,baak9
卜,蔔,baak9
白,白,baak9
斑,斑,baan1
班,班,baan1
瘢,瘢,baan1
颁,頒,baan1
版,版,baan2
舨,舨,baan2
板,板,baan2
板,闆,baan2
坂,坂,baan2,"","",阪
扮,扮,baan3,扮演，扮鬼脸，女扮男装，扮老头儿,化装成，面部表情装成
扮,扮,baan6,打扮，装扮,打扮，装扮
办,辦,baan6
湴,湴,baan6
蹦,蹦,baang6
捌,捌,baat8
八,八,baat8
茇,茇,baat9
褒,褒,baau1
包,包,baau1
鲍,鮑,baau1,鲍鱼,指活鲍鱼
苞,苞,baau1
胞,胞,baau1
孢,孢,baau1
饱,飽,baau2
爆,爆,baau3
鲍,鮑,baau6,鲍鱼,姓；也指干鲍鱼
龅,齙,baau6
跛,跛,bai1/bo2
蔽,蔽,bai3
闭,閉,bai3
赑,贔,bai3
敝,敝,bai6
弊,弊,bai6
陛,陛,bai6
毙,斃,bai6
狴,狴,bai6
币,幣,bai6
北,北,bak7
泵,泵,bam1
乓,乓,bam1/pong1
奔,奔,ban1
槟,檳,ban1
宾,賓,ban1
缤,繽,ban1
滨,濱,ban1
斌,斌,ban1
彬,彬,ban1
贲,賁,ban1,贲张，贲门，虎贲,膈膜，横隔膜
濒,瀕,ban1/pan4
品,品,ban2
禀,稟,ban2
摈,擯,ban3
殡,殯,ban3
鬓,鬢,ban3
笨,笨,ban6
崩,崩,bang1
镚,鏰,bang1
绷,繃,bang1,绷紧，绷带，绷子，绷硬，绷亮，绷脆，绷直，紧绷，绷床，紧绷绷，绷场面，绷了一道缝儿,张紧，拉紧，包扎；裂开；（用于形容词前表示程度深）非常，很,綳
不,不,bat7
笔,筆,bat7
毕,畢,bat7
钚,鈈,bat7
哔,嗶,bat7
筚,篳,bat7
跸,蹕,bat7
荜,蓽,bat7
拔,拔,bat9
钹,鈸,bat9
弼,弼,bat9
跋,跋,bat9
苾,苾,bat9
菝,菝,bat9
啤,啤,be1
呗,唄,be6
碑,碑,bei1
卑,卑,bei1
裨,裨,bei1,裨益，无裨于事，大有裨益,补助
悲,悲,bei1
屄,屄,bei1
比,比,bei2
彼,彼,bei2
妣,妣,bei2
秕,秕,bei2
吡,吡,bei2,吡啶，吡咯,（音译用字）一种有机化合物
匕,匕,bei2/bei3
臂,臂,bei3
痹,痺,bei3
秘,秘,bei3,"","",祕
泌,泌,bei3
庇,庇,bei3
辔,轡,bei3
铋,鉍,bei3
贲,賁,bei3,贲临，贲然,装饰美好，华丽，光洁
备,備,bei6
被,被,bei6,被动，被害，被迫
鼻,鼻,bei6
箆,箆,bei6
避,避,bei6
糒,糒,bei6
惫,憊,bei6/baai6
饼,餅,beng2,"",（语音）
柄,柄,beng3/bing3
病,病,beng6/bing6
壁,壁,bik7
碧,碧,bik7
逼,逼,bik7
愎,愎,bik7
璧,璧,bik7
襞,襞,bik7
边,邊,bin1
辫,辮,bin1
鞭,鞭,bin1
煸,煸,bin1
砭,砭,bin1
扁,扁,bin2,扁平，踩扁
匾,匾,bin2
贬,貶,bin2
变,變,bin3
便,便,bin6,便利，方便
卞,卞,bin6
辩,辯,bin6
辨,辨,bin6
汴,汴,bin6
兵,兵,bing1
冰,冰,bing1
乒,乒,bing1/ping1
丙,丙,bing2
秉,秉,bing2
炳,炳,bing2
屏,屏,bing2,屏气，屏息，屏除，屏弃，屏住呼吸,压制，抑止，停止，排除
饼,餅,bing2,饼干，馅饼
昺,昺,bing2
迸,迸,bing3
并,併,bing3/ping3
并,並,bing6
觱,觱,bit7
必,必,bit7
别,彆,bit8
憋,憋,bit8
鳖,鱉,bit8
蹩,蹩,bit9
别,別,bit9
瘪,癟,bit9
镳,鑣,biu1
彪,彪,biu1
标,標,biu1
表,錶,biu1
镖,鏢,biu1
飙,飆,biu1
膘,膘,biu1
骠,驃,biu1,黄骠马,一种黄毛夹有白色斑点的马
婊,婊,biu2
表,表,biu2
波,波,bo1
玻,玻,bo1
菠,菠,bo1
般,般,bo1,般若,（梵文音译词）
簸,簸,bo3,簸箕,（名词）
播,播,bo3
簸,簸,bo3/bo2,颠簸,（动词）
膊,膊,bok8
博,博,bok8
搏,搏,bok8
驳,駁,bok8
亳,亳,bok8
缚,縛,bok8/fok8
铂,鉑,bok9
泊,泊,bok9,湖泊，水泊，血泊，梁山泊，罗布泊,湖
箔,箔,bok9
礴,礴,bok9
雹,雹,bok9
薄,薄,bok9
舶,舶,bok9/paak8
