繁體,簡體,拼音,詞例,定義,又作
挨,挨,aːi˥,挨戶，挨家，挨近,依次，順次，靠近
隘,隘,aːi˧
軛,轭,aːk˥
晏,晏,aːn˧
俺,俺,aːn˧˥
鴨,鸭,aːp˧
壓,压,aːt˧
押,押,aːt˧
遏,遏,aːt˧
揠,揠,aːt˧
猰,猰,aːt˧
軋,轧,aːt˧/tsaːt˧,軋平，傾軋，軋花機，軋棉花,碾壓，滾壓
拗,拗,aːu˧
坳,坳,aːu˧/aːu˥
罌,罂,aːŋ˥,"",大腹小口的瓶子
丫,丫,aː˥
呀,呀,aː˥
啊,啊,aː˥,啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了,（歎詞）表示贊歎、驚異、吃驚等語氣
鴉,鸦,aː˥
啞,哑,aː˥,咿啞，啞啞學語,（語氣助詞）呀；（象聲詞）形容烏鴉叫聲、小兒學說話等聲音
吖,吖,aː˥
錒,锕,aː˥
亞,亚,aː˧
阿,阿,aː˧,阿姨，阿飛
氬,氩,aː˧
婭,娅,aː˧
啊,啊,aː˧,啊！好吧，啊！原來是你，不錯啊，多美啊，快來啊，很好啊，小心啊,（歎詞）表示應諾、醒悟、明白等語氣；（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣
啞,哑,aː˧˥,啞巴，啞鈴，啞子，啞劇，啞謎，聾啞，沙啞，嘶啞，啞巴虧，啞口無言，啞然無聲，裝聾作啞,不能說話，說不出話來
啊,啊,aː˧˥,啊？你說什麼，啊？你再說，啊？這怎麼回事，啊？有這種事啊,（歎詞）表示疑問、疑惑、反問、追問、驚異、驚疑等語氣
欸,欸,ei˥,"",（語氣助詞）表示招呼
欸,欸,ei˧˥,"",（語氣助詞）表示不以為然
欸,欸,ei˨,"",（語氣助詞）表示答應或同意
欸,欸,ei˨˩,"",（語氣助詞）表示詫異
快,快,faːi˧
塊,块,faːi˧
傀,傀,faːi˧
筷,筷,faːi˧
噲,哙,faːi˧
番,番,faːn˥,一番，輪番，三番五次,（量詞）種，樣，回，次，遍；更替，替換
旛,旛,faːn˥
幡,幡,faːn˥
翻,翻,faːn˥,"","",飜，繙
番,番,faːn˥,番人，番邦，番茄，番薯，番石榴,未開化的；外國的，外族的,蕃
泛,泛,faːn˧,"","",氾，汎
販,贩,faːn˧/faːn˧˥
反,反,faːn˧˥
返,返,faːn˧˥
犯,犯,faːn˧˥,戰犯，要犯，貪污犯,（名詞）犯罪的人
瓣,瓣,faːn˨
飯,饭,faːn˨
範,范,faːn˨
犯,犯,faːn˨,犯錯，犯病，犯忌，犯不著,（動詞）
范,范,faːn˨
梵,梵,faːn˨/faːn˨˩
繁,繁,faːn˨˩
帆,帆,faːn˨˩
凡,凡,faːn˨˩
煩,烦,faːn˨˩
釩,钒,faːn˨˩
藩,藩,faːn˨˩
樊,樊,faːn˨˩
礬,矾,faːn˨˩
蕃,蕃,faːn˨˩,蕃茂，蕃昌,草木茂盛
璠,璠,faːn˨˩
琺,珐,faːt˧
髮,发,faːt˧
法,法,faːt˧
發,发,faːt˧
花,花,faː˥
化,化,faː˧
非,非,fei˥
飛,飞,fei˥
妃,妃,fei˥
緋,绯,fei˥
鯡,鲱,fei˥
菲,菲,fei˥,菲菲，芳菲,花草茂盛
蜚,蜚,fei˥,蜚聲，流言蜚語,飛；不實，無根據
扉,扉,fei˥
霏,霏,fei˥
斐,斐,fei˧˥
翡,翡,fei˧˥
匪,匪,fei˧˥
誹,诽,fei˧˥
榧,榧,fei˧˥
悱,悱,fei˧˥
菲,菲,fei˧˥,妄自菲薄,微薄
蜚,蜚,fei˧˥,蜚蠊,蟑螂
腓,腓,fei˨˩
肥,肥,fei˨˩
恢,恢,fuːi˥
魁,魁,fuːi˥
灰,灰,fuːi˥
詼,诙,fuːi˥
蝰,蝰,fuːi˥
悝,悝,fuːi˥
奎,奎,fuːi˥/kʰwɐi˥
悔,悔,fuːi˧
誨,诲,fuːi˧
晦,晦,fuːi˧
鮪,鲔,fuːi˧˥
髖,髋,fuːn˥
貛,獾,fuːn˥
寬,宽,fuːn˥
歡,欢,fuːn˥
款,款,fuːn˧˥
闊,阔,fuːt˧
俘,俘,fuː˥
枯,枯,fuː˥
呼,呼,fuː˥
麩,麸,fuː˥
孵,孵,fuː˥
膚,肤,fuː˥
孚,孚,fuː˥
敷,敷,fuː˥
夫,夫,fuː˥
骷,骷,fuː˥
軤,轷,fuː˥
刳,刳,fuː˥
跗,跗,fuː˥
伕,伕,fuː˥
桴,桴,fuː˥
莩,莩,fuː˥
趺,趺,fuː˥
富,富,fuː˧
賦,赋,fuː˧
庫,库,fuː˧
副,副,fuː˧
褲,裤,fuː˧
絝,绔,fuː˧
戽,戽,fuː˧
唬,唬,fuː˧˥
腑,腑,fuː˧˥
撫,抚,fuː˧˥
釜,釜,fuː˧˥
拊,拊,fuː˧˥
琥,琥,fuː˧˥
俯,俯,fuː˧˥
甫,甫,fuː˧˥
斧,斧,fuː˧˥
府,府,fuː˧˥
虎,虎,fuː˧˥
苦,苦,fuː˧˥
腐,腐,fuː˨
仆,仆,fuː˨,前仆後繼,跌倒；以面伏地
赴,赴,fuː˨
負,负,fuː˨
附,附,fuː˨
輔,辅,fuː˨
父,父,fuː˨
訃,讣,fuː˨
咐,咐,fuː˨
付,付,fuː˨
傅,傅,fuː˨
鮒,鲋,fuː˨
駙,驸,fuː˨
芙,芙,fuː˨˩
