繁體,簡體,拼音,詞例,定義,又作
隘,隘,ai³
挨,挨,ai¹,挨戶，挨家，挨近,依次，順次，靠近
軛,轭,ak⁷
俺,俺,an²
晏,晏,an³
鴨,鸭,ap⁸
壓,压,at⁸
押,押,at⁸
遏,遏,at⁸
揠,揠,at⁸
猰,猰,at⁸
軋,轧,at⁸/dzat⁸,軋平，傾軋，軋花機，軋棉花,碾壓，滾壓
拗,拗,au³
坳,坳,au³/au¹
啞,哑,a²,啞巴，啞鈴，啞子，啞劇，啞謎，聾啞，沙啞，嘶啞，啞巴虧，啞口無言，啞然無聲，裝聾作啞,不能說話，說不出話來
啊,啊,a²,啊？你說什麼，啊？你再說，啊？這怎麼回事，啊？有這種事啊,（歎詞）表示疑問、疑惑、反問、追問、驚異、驚疑等語氣
亞,亚,a³
阿,阿,a³,阿姨，阿飛
氬,氩,a³
婭,娅,a³
啊,啊,a³,啊！好吧，啊！原來是你，不錯啊，多美啊，快來啊，很好啊，小心啊,（歎詞）表示應諾、醒悟、明白等語氣；（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣
丫,丫,a¹
呀,呀,a¹
啊,啊,a¹,啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了,（歎詞）表示贊歎、驚異、吃驚等語氣
鴉,鸦,a¹
啞,哑,a¹,咿啞，啞啞學語,（語氣助詞）呀；（象聲詞）形容烏鴉叫聲、小兒學說話等聲音
吖,吖,a¹
錒,锕,a¹
罌,罂,aŋ¹,"",大腹小口的瓶子
擺,摆,bai²
襬,摆,bai²
捭,捭,bai²
拜,拜,bai³
掰,掰,bai¹/mak⁸
敗,败,bai⁶
稗,稗,bai⁶
唄,呗,bai⁶,唄唱，梵唄,（佛）唱讚，歌讚，念誦經文，唱頌短偈
伯,伯,bak⁸
佰,佰,bak⁸
百,百,bak⁸
匐,匐,bak⁹
帛,帛,bak⁹
蔔,卜,bak⁹
白,白,bak⁹
僰,僰,bak⁹/bɐt⁹/bɔk⁸
版,版,ban²
舨,舨,ban²
板,板,ban²
闆,板,ban²
坂,坂,ban²,"","",阪
斑,斑,ban¹
班,班,ban¹
瘢,瘢,ban¹
頒,颁,ban¹
扮,扮,ban⁶,打扮，裝扮,打扮，裝扮
