繁體,簡體,拼音,詞例,定義,又作
丫,丫,'a
呀,呀,'a
啊,啊,'a,啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了,（歎詞）表示贊歎、驚異、吃驚等語氣
鴉,鸦,'a
啞,哑,'a,咿啞，啞啞學語,（語氣助詞）呀；（象聲詞）形容烏鴉叫聲、小兒學說話等聲音
吖,吖,'a
錒,锕,'a
挨,挨,'ai,挨戶，挨家，挨近,依次，順次，靠近
軛,轭,'ak
罌,罂,'aŋ,"",大腹小口的瓶子
叭,叭,'ba
疤,疤,'ba
粑,粑,'ba
芭,芭,'ba
笆,笆,'ba
爸,爸,'ba
葩,葩,'ba
巴,巴,'ba
吧,吧,'ba,吧枱，吧嗒，吧唧，酒吧，沙拉吧，吧的一聲,（音譯詞）小酒館；（象聲詞）爆裂聲
掰,掰,'bai/¯mak
迫,迫,'bak/'bik
斑,斑,'ban
班,班,'ban
瘢,瘢,'ban
頒,颁,'ban
褒,褒,'bau
包,包,'bau
鮑,鲍,'bau,鮑魚,指活鮑魚
苞,苞,'bau
胞,胞,'bau
孢,孢,'bau
碑,碑,'bei
卑,卑,'bei
裨,裨,'bei,裨益，無裨於事，大有裨益,補助
悲,悲,'bei
屄,屄,'bei
壁,壁,'bik
碧,碧,'bik
逼,逼,'bik
愎,愎,'bik
璧,璧,'bik
襞,襞,'bik
邊,边,'bin
辮,辫,'bin
鞭,鞭,'bin
煸,煸,'bin
砭,砭,'bin
觱,觱,'bit
必,必,'bit
鑣,镳,'biu
彪,彪,'biu
標,标,'biu
錶,表,'biu
鏢,镖,'biu
飆,飙,'biu
膘,膘,'biu
驃,骠,'biu,黃驃馬,一種黃毛夾有白色斑點的馬
晡,晡,'bou
杯,杯,'bui,"","",盃
般,般,'bun,一般，那般，百般，萬般無奈，如此這般,種，樣，種類
搬,搬,'bun
跛,跛,'bɐi/´bɔ
北,北,'bɐk
泵,泵,'bɐm
乓,乓,'bɐm/'pɔŋ
奔,奔,'bɐn
檳,槟,'bɐn
賓,宾,'bɐn
繽,缤,'bɐn
濱,滨,'bɐn
斌,斌,'bɐn
彬,彬,'bɐn
賁,贲,'bɐn,賁張，賁門，虎賁,膈膜，橫隔膜
瀕,濒,'bɐn/ˌpɐn
不,不,'bɐt
筆,笔,'bɐt
畢,毕,'bɐt
鈈,钚,'bɐt
嗶,哔,'bɐt
篳,筚,'bɐt
蹕,跸,'bɐt
蓽,荜,'bɐt
崩,崩,'bɐŋ
鏰,镚,'bɐŋ
繃,绷,'bɐŋ,繃緊，繃帶，繃子，繃硬，繃亮，繃脆，繃直，緊繃，繃床，緊繃繃，繃場面，繃了一道縫兒,張緊，拉緊，包紮；裂開；（用於形容詞前表示程度深）非常，很,綳
波,波,'bɔ
玻,玻,'bɔ
菠,菠,'bɔ
般,般,'bɔ,般若,（梵文音譯詞）
梆,梆,'bɔŋ
幫,帮,'bɔŋ
邦,邦,'bɔŋ
啤,啤,'bɛ
兵,兵,'bɪŋ
冰,冰,'bɪŋ
乒,乒,'bɪŋ/'pɪŋ
卜,卜,'bʊk
打,打,'da,一打雞蛋，一打鉛筆,（量詞）指十二個
呆,呆,'dai,呆子，書呆子，呆一會兒,發愣，死板，不靈活，不自然,獃
擔,担,'dam,擔米，擔柴，擔水，擔當，擔心，擔負，擔任，擔憂，擔保，擔待，負擔，承擔，分擔，擔風險，擔當重任，擔負責任,用肩膀挑，負責，負起，承當；憂慮，記掛，操心
耽,耽,'dam
眈,眈,'dam
儋,儋,'dam
聃,聃,'dam
單,单,'dan,單薄，單獨，單純，單程，簡單，帳單，床單,一個，獨自，不複雜
鄲,郸,'dan
丹,丹,'dan
殫,殚,'dan
癉,瘅,'dan,癉瘧，癉熱,中醫指瘧疾的一種
嫡,嫡,'dik
滴,滴,'dik
的,的,'dik
掂,掂,'dim
顛,颠,'din
巔,巅,'din
癲,癫,'din
碘,碘,'din,碘酒
雕,雕,'diu,"","",彫
貂,貂,'diu
叼,叼,'diu
鯛,鲷,'diu
凋,凋,'diu
刁,刁,'diu
丟,丢,'diu
碉,碉,'diu
鵰,雕,'diu
都,都,'dou
嘟,嘟,'dou
叨,叨,'dou,叨念，叨叨，嘮叨，絮叨，念叨，磨叨，絮絮叨叨,羅嗦，話多
刀,刀,'dou
端,端,'dyn
渣,渣,'dza
糌,糌,'dza
吒,吒,'dza
咱,咱,'dza
楂,楂,'dza
齇,齇,'dza
查,查,'dza,"",（姓）
