挨	挨	aːi˥	挨户，挨家，挨近	依次，顺次，靠近	
隘	隘	aːi˧			
轭	軛	aːk˥			
晏	晏	aːn˧			
俺	俺	aːn˧˥			
鸭	鴨	aːp˧			
压	壓	aːt˧			
押	押	aːt˧			
遏	遏	aːt˧			
揠	揠	aːt˧			
猰	猰	aːt˧			
轧	軋	aːt˧/tsaːt˧	轧平，倾轧，轧花机，轧棉花	碾压，滚压	
拗	拗	aːu˧			
坳	坳	aːu˧/aːu˥			
罂	罌	aːŋ˥		大腹小口的瓶子	
丫	丫	aː˥			
呀	呀	aː˥			
啊	啊	aː˥	啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了	（叹词）表示赞叹、惊异、吃惊等语气	
鸦	鴉	aː˥			
哑	啞	aː˥	咿哑，哑哑学语	（语气助词）呀；（象声词）形容乌鸦叫声、小儿学说话等声音	
吖	吖	aː˥			
锕	錒	aː˥			
亚	亞	aː˧			
阿	阿	aː˧	阿姨，阿飞		
氩	氬	aː˧			
娅	婭	aː˧			
啊	啊	aː˧	啊！好吧，啊！原来是你，不错啊，多美啊，快来啊，很好啊，小心啊	（叹词）表示应诺、醒悟、明白等语气；（助词）表示赞叹、惊叹、疑问、肯定、辩解、催促，停顿、列举等语气	
哑	啞	aː˧˥	哑巴，哑铃，哑子，哑剧，哑谜，聋哑，沙哑，嘶哑，哑巴亏，哑口无言，哑然无声，装聋作哑	不能说话，说不出话来	
啊	啊	aː˧˥	啊？你说什么，啊？你再说，啊？这怎么回事，啊？有这种事啊	（叹词）表示疑问、疑惑、反问、追问、惊异、惊疑等语气	
欸	欸	ei˥		（语气助词）表示招呼	
欸	欸	ei˧˥		（語氣助詞）表示不以為然	
欸	欸	ei˨		（语气助词）表示答应或同意	
欸	欸	ei˨˩		（语气助词）表示诧异	
快	快	faːi˧			
块	塊	faːi˧			
傀	傀	faːi˧			
筷	筷	faːi˧			
哙	噲	faːi˧			
番	番	faːn˥	一番，轮番，三番五次	（量词）种，样，回，次，遍；更替，替换	
旛	旛	faːn˥			
幡	幡	faːn˥			
翻	翻	faːn˥			飜，繙
番	番	faːn˥	番人，番邦，番茄，番薯，番石榴	未开化的；外国的，外族的	蕃
贩	販	faːn˧/faːn˧˥			
泛	泛	faːn˧/faːn˨			氾，汎
反	反	faːn˧˥			
返	返	faːn˧˥			
犯	犯	faːn˧˥	战犯，要犯，贪污犯	（名词）犯罪的人	
瓣	瓣	faːn˨			
饭	飯	faːn˨			
范	範	faːn˨			
犯	犯	faːn˨	犯错，犯病，犯忌，犯不着	（动词）	
范	范	faːn˨			
繁	繁	faːn˨˩			
帆	帆	faːn˨˩			
凡	凡	faːn˨˩			
烦	煩	faːn˨˩			
钒	釩	faːn˨˩			
藩	藩	faːn˨˩			
樊	樊	faːn˨˩			
矾	礬	faːn˨˩			
蕃	蕃	faːn˨˩	蕃茂，蕃昌	草木茂盛	
璠	璠	faːn˨˩			
梵	梵	faːn˨˩/faːn˨			
珐	琺	faːt˧			
发	髮	faːt˧			
法	法	faːt˧			
发	發	faːt˧			
花	花	faː˥			
化	化	faː˧			
非	非	fei˥			
飞	飛	fei˥			
妃	妃	fei˥			
绯	緋	fei˥			
鲱	鯡	fei˥			
菲	菲	fei˥	菲菲，芳菲	花草茂盛	
蜚	蜚	fei˥			
扉	扉	fei˥			
霏	霏	fei˥			
斐	斐	fei˧˥			
翡	翡	fei˧˥			
匪	匪	fei˧˥			
诽	誹	fei˧˥			
榧	榧	fei˧˥			
悱	悱	fei˧˥			
菲	菲	fei˧˥	妄自菲薄	微薄	
腓	腓	fei˨˩			
肥	肥	fei˨˩			
恢	恢	fuːi˥			
魁	魁	fuːi˥			
灰	灰	fuːi˥			
诙	詼	fuːi˥			
奎	奎	fuːi˥/kʰwɐi˥			
悔	悔	fuːi˧			
诲	誨	fuːi˧			
晦	晦	fuːi˧			
鲔	鮪	fuːi˧˥			
髋	髖	fuːn˥			
獾	貛	fuːn˥			
宽	寬	fuːn˥			
欢	歡	fuːn˥			
款	款	fuːn˧˥			
阔	闊	fuːt˧			
俘	俘	fuː˥			
枯	枯	fuː˥			
呼	呼	fuː˥			
麸	麩	fuː˥			
孵	孵	fuː˥			
肤	膚	fuː˥			
孚	孚	fuː˥			
敷	敷	fuː˥			
夫	夫	fuː˥			
骷	骷	fuː˥			
轷	軤	fuː˥			
刳	刳	fuː˥			
跗	跗	fuː˥			
伕	伕	fuː˥			
富	富	fuː˧			
赋	賦	fuː˧			
库	庫	fuː˧			
副	副	fuː˧			
裤	褲	fuː˧			
绔	絝	fuː˧			
戽	戽	fuː˧			
唬	唬	fuː˧˥			
腑	腑	fuː˧˥			
抚	撫	fuː˧˥			
釜	釜	fuː˧˥			
拊	拊	fuː˧˥			
琥	琥	fuː˧˥			
俯	俯	fuː˧˥			
甫	甫	fuː˧˥			
斧	斧	fuː˧˥			
府	府	fuː˧˥			
虎	虎	fuː˧˥			
苦	苦	fuː˧˥			
腐	腐	fuː˨			
仆	仆	fuː˨	前仆后继	跌倒；以面伏地	
赴	赴	fuː˨			
负	負	fuː˨			
附	附	fuː˨			
辅	輔	fuː˨			
父	父	fuː˨			
讣	訃	fuː˨			
咐	咐	fuː˨			
付	付	fuː˨			
傅	傅	fuː˨			
鲋	鮒	fuː˨			
驸	駙	fuː˨			
芙	芙	fuː˨˩			
乎	乎	fuː˨˩			
扶	扶	fuː˨˩			
符	符	fuː˨˩			
苻	苻	fuː˨˩			
妇	婦	fuː˩˧			
晖	暉	fɐi˥			
挥	揮	fɐi˥			
辉	輝	fɐi˥			
徽	徽	fɐi˥			
撝	撝	fɐi˥			
煇	煇	fɐi˥			
袆	褘	fɐi˥			
隳	隳	fɐi˥			
沸	沸	fɐi˧			
废	廢	fɐi˧			
肺	肺	fɐi˧			
费	費	fɐi˧			
狒	狒	fɐi˧			
痱	痱	fɐi˧˥			
吠	吠	fɐi˨			
婚	婚	fɐn˥			
薰	薰	fɐn˥			
氛	氛	fɐn˥			
纷	紛	fɐn˥			
分	分	fɐn˥	分开，分别，分数，分裂，分明，分离，分出，分散，分隔，分辨，分割，分成，分手，分担，分支，分局，分会，分校，分贝，分配，分钟，分队，分头，区分，满分，划分，零分，分工作，分公司，一百分，百分之一，分清是非，分一杯羹，不分青红皁白	把整体变成几个局部的个体；辨别，区别，离别；（量词）长度、时间、成绩、钱等的单位	
熏	熏	fɐn˥			
熏	燻	fɐn˥			
醺	醺	fɐn˥			
荤	葷	fɐn˥			
昏	昏	fɐn˥			
酚	酚	fɐn˥			
芬	芬	fɐn˥			
吩	吩	fɐn˥			
勋	勳	fɐn˥			勛
棻	棻	fɐn˥			
粪	糞	fɐn˧			
训	訓	fɐn˧			
粉	粉	fɐn˧˥			
份	份	fɐn˨			
分	分	fɐn˨	分量，部分，成分，身分，过分，本分，名分，缘分，情分，糖分，养分	整体中的局部	份
坟	墳	fɐn˨˩			
焚	焚	fɐn˨˩			
汾	汾	fɐn˨˩			
愤	憤	fɐn˩˧			
奋	奮	fɐn˩˧			
忿	忿	fɐn˩˧			
拂	拂	fɐt˥			
