隘	隘	aai³			
挨	挨	aai¹	挨戶，挨家，挨近	依次，順次，靠近	
軛	轭	aak¹			
罌	罂	aang¹		大腹小口的瓶子	
俺	俺	aan²			
晏	晏	aan³			
鴨	鸭	aap³			
壓	压	aat³			
押	押	aat³			
遏	遏	aat³			
揠	揠	aat³			
猰	猰	aat³			
軋	轧	aat³/jaat³	軋平，傾軋，軋花機，軋棉花	碾壓，滾壓	
拗	拗	aau³			
坳	坳	aau³/aau¹			
矮	矮	ai²			
唉	唉	ai³		（歎詞）表示傷感或惋惜	
縊	缢	ai³			
屭	屃	ai³			屓
嫕	嫕	ai³/yi³			
哎	哎	ai¹			
唉	唉	ai¹	唉聲歎氣	（歎詞）表示失望或無可奈何	
啞	哑	ak¹	啞啞，啞然失笑，笑之啞啞	（象聲詞）形容笑聲	
偓	偓	ak¹			
厄	厄	ak¹/aak¹			
扼	扼	ak¹/aak¹			
幄	幄	ak¹/aak¹			
握	握	ak¹/aak¹			
渥	渥	ak¹/aak¹			
齷	龌	ak¹/aak¹			
黯	黯	am²			
揞	揞	am²			
暗	暗	am³			
鵪	鹌	am¹			
庵	庵	am¹			
諳	谙	am¹			
鶯	莺	ang¹			
罌	罂	ang¹	罌粟	一種花	
嘔	呕	au²			
毆	殴	au²/au¹			
慪	怄	au³			
漚	沤	au³	漚肥，漚田，漚麻	在水中長時間地浸泡以使起變化	
凹	凹	au³/nap¹	凹透鏡，凹凸不平	窪下，跟“凸”相反	
區	区	au¹		（姓）	
歐	欧	au¹			
鷗	鸥	au¹			
甌	瓯	au¹			
謳	讴	au¹			
漚	沤	au¹	浮漚	水泡	
啞	哑	a²	啞巴，啞鈴，啞子，啞劇，啞謎，聾啞，沙啞，嘶啞，啞巴虧，啞口無言，啞然無聲，裝聾作啞	不能說話，說不出話來	
啊	啊	a²	啊？你說什麼，啊？你再說，啊？這怎麼回事，啊？有這種事啊	（歎詞）表示疑問、疑惑、反問、追問、驚異、驚疑等語氣	
亞	亚	a³			
阿	阿	a³	阿姨，阿飛		
氬	氩	a³			
婭	娅	a³			
啊	啊	a³	啊！好吧，啊！原來是你，不錯啊，多美啊，快來啊，很好啊，小心啊	（歎詞）表示應諾、醒悟、明白等語氣；（助詞）表示贊歎、驚歎、疑問、肯定、辯解、催促，停頓、列舉等語氣	
丫	丫	a¹			
呀	呀	a¹			
啊	啊	a¹	啊！好美啊，啊！下雪了，啊！失火了，啊！太精彩了	（歎詞）表示贊歎、驚異、吃驚等語氣	
鴉	鸦	a¹			
啞	哑	a¹	咿啞，啞啞學語	（語氣助詞）呀；（象聲詞）形容烏鴉叫聲、小兒學說話等聲音	
吖	吖	a¹			
錒	锕	a¹			
擺	摆	baai²			
襬	摆	baai²			
捭	捭	baai²			
拜	拜	baai³			
掰	掰	baai¹/maak³			
敗	败	baai⁶			
稗	稗	baai⁶			
唄	呗	baai⁶	唄唱，梵唄	（佛）唱讚，歌讚，念誦經文，唱頌短偈	
伯	伯	baak³			
佰	佰	baak³			
百	百	baak³			
迫	迫	baak¹/bik¹			
匐	匐	baak⁶			
帛	帛	baak⁶			
蔔	卜	baak⁶			
白	白	baak⁶			
僰	僰	baak⁶/bat⁶/bok³			
蹦	蹦	baang⁶			
版	版	baan²			
舨	舨	baan²			
板	板	baan²			
闆	板	baan²			
坂	坂	baan²			阪
扮	扮	baan³	扮演，扮鬼臉，女扮男裝，扮老頭兒	化裝成，面部表情裝成	
斑	斑	baan¹			
班	班	baan¹			
瘢	瘢	baan¹			
頒	颁	baan¹			
扮	扮	baan⁶	打扮，裝扮	打扮，裝扮	
辦	办	baan⁶			
湴	湴	baan⁶			
捌	捌	baat³			
八	八	baat³			
茇	茇	baat⁶			
飽	饱	baau²			
爆	爆	baau³			
褒	褒	baau¹			
包	包	baau¹			
鮑	鲍	baau¹	鮑魚	指活鮑魚	
苞	苞	baau¹			
胞	胞	baau¹			
孢	孢	baau¹			
鮑	鲍	baau⁶	鮑魚	姓；也指乾鮑魚	
齙	龅	baau⁶			
蔽	蔽	bai³			
閉	闭	bai³			
贔	赑	bai³			
跛	跛	bai¹/boh²			
敝	敝	bai⁶			
弊	弊	bai⁶			
陛	陛	bai⁶			
斃	毙	bai⁶			
狴	狴	bai⁶			
幣	币	bai⁶			
北	北	bak¹			
泵	泵	bam¹			
乓	乓	bam¹/pong¹			
崩	崩	bang¹			
鏰	镚	bang¹			
繃	绷	bang¹	繃緊，繃帶，繃子，繃硬，繃亮，繃脆，繃直，緊繃，繃床，緊繃繃，繃場面，繃了一道縫兒	張緊，拉緊，包紮；裂開；（用於形容詞前表示程度深）非常，很	綳
品	品	ban²			
稟	禀	ban²			
擯	摈	ban³			
殯	殡	ban³			
鬢	鬓	ban³			
儐	傧	ban³			
奔	奔	ban¹			
檳	槟	ban¹			
賓	宾	ban¹			
繽	缤	ban¹			
濱	滨	ban¹			
斌	斌	ban¹			
彬	彬	ban¹			
賁	贲	ban¹	賁張，賁門，虎賁	膈膜，橫隔膜	
錛	锛	ban¹			
笨	笨	ban⁶			
不	不	bat¹			
筆	笔	bat¹			
畢	毕	bat¹			
鈈	钚	bat¹			
嗶	哔	bat¹			
篳	筚	bat¹			
蹕	跸	bat¹			
蓽	荜	bat¹			
潷	滗	bat¹/bei³			
拔	拔	bat⁶			
鈸	钹	bat⁶			
弼	弼	bat⁶			
跋	跋	bat⁶			
苾	苾	bat⁶			
菝	菝	bat⁶			
鈀	钯	ba²			
靶	靶	ba²			
把	把	ba²			
㞎	㞎	ba²			
霸	霸	ba³			
壩	坝	ba³			
灞	灞	ba³			
叭	叭	ba¹			
疤	疤	ba¹			
粑	粑	ba¹			
芭	芭	ba¹			
笆	笆	ba¹			
爸	爸	ba¹			
葩	葩	ba¹			
巴	巴	ba¹			
吧	吧	ba¹	吧枱，吧嗒，吧唧，酒吧，沙拉吧，吧的一聲	（音譯詞）小酒館；（象聲詞）爆裂聲	
吧	吧	ba⁶	好吧，去吧，說吧，不會吧，算了吧	（語氣助詞）表示可以，允許，推測，估量，命令等	
罷	罢	ba⁶			
比	比	bei²			
彼	彼	bei²			
妣	妣	bei²			
